section,object_name,item_name,details
index,properties,properties_global_id_uq,"{""indexdef"":""CREATE UNIQUE INDEX properties_global_id_uq ON public.properties USING btree (global_id)""}"
index,properties,properties_pkey,"{""indexdef"":""CREATE UNIQUE INDEX properties_pkey ON public.properties USING btree (id)""}"
index,properties,properties_source_idx,"{""indexdef"":""CREATE INDEX properties_source_idx ON public.properties USING btree (source_type)""}"
index,properties,properties_source_submitter_idx,"{""indexdef"":""CREATE INDEX properties_source_submitter_idx ON public.properties USING btree (source_type, submitter_type)""}"
index,properties,properties_submitter_type_idx,"{""indexdef"":""CREATE INDEX properties_submitter_type_idx ON public.properties USING btree (submitter_type)""}"
index,properties,uq_properties_global_id,"{""indexdef"":""CREATE UNIQUE INDEX uq_properties_global_id ON public.properties USING btree (global_id) WHERE (NULLIF(btrim(global_id), ''::text) IS NOT NULL)""}"
index,properties,uq_properties_registration_identity_key,"{""indexdef"":""CREATE UNIQUE INDEX uq_properties_registration_identity_key ON public.properties USING btree (registration_identity_key) WHERE (NULLIF(btrim(registration_identity_key), ''::text) IS NOT NULL)""}"
index,properties,uq_properties_registration_identity_key_v2_strict,"{""indexdef"":""CREATE UNIQUE INDEX uq_properties_registration_identity_key_v2_strict ON public.properties USING btree (registration_identity_key_v2) WHERE ((registration_identity_confidence = 'strict'::text) AND (NULLIF(btrim(registration_identity_key_v2), ''::text) IS NOT NULL))""}"
index,property_activity_logs,idx_property_activity_logs_actor_date,"{""indexdef"":""CREATE INDEX idx_property_activity_logs_actor_date ON public.property_activity_logs USING btree (actor_id, action_date DESC, created_at DESC)""}"
index,property_activity_logs,idx_property_activity_logs_identity_key,"{""indexdef"":""CREATE INDEX idx_property_activity_logs_identity_key ON public.property_activity_logs USING btree (property_identity_key) WHERE (property_identity_key IS NOT NULL)""}"
index,property_activity_logs,idx_property_activity_logs_property_id,"{""indexdef"":""CREATE INDEX idx_property_activity_logs_property_id ON public.property_activity_logs USING btree (property_id) WHERE (property_id IS NOT NULL)""}"
index,property_activity_logs,property_activity_logs_pkey,"{""indexdef"":""CREATE UNIQUE INDEX property_activity_logs_pkey ON public.property_activity_logs USING btree (id)""}"
index,property_photos,idx_property_photos_global,"{""indexdef"":""CREATE INDEX idx_property_photos_global ON public.property_photos USING btree (property_global_id, deleted_at)""}"
index,property_photos,idx_property_photos_property,"{""indexdef"":""CREATE INDEX idx_property_photos_property ON public.property_photos USING btree (property_id, deleted_at, sort_order)""}"
index,property_photos,property_photos_pkey,"{""indexdef"":""CREATE UNIQUE INDEX property_photos_pkey ON public.property_photos USING btree (id)""}"
index,property_photos,uq_property_photos_primary_per_property,"{""indexdef"":""CREATE UNIQUE INDEX uq_property_photos_primary_per_property ON public.property_photos USING btree (property_id) WHERE ((is_primary = true) AND (deleted_at IS NULL))""}"
policy,profiles,profiles_insert_own,"{""cmd"":""INSERT"",""qual"":null,""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":""(id = auth.uid())""}"
policy,profiles,profiles_select_admin,"{""cmd"":""SELECT"",""qual"":""is_admin()"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":null}"
policy,profiles,profiles_select_own,"{""cmd"":""SELECT"",""qual"":""(id = auth.uid())"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":null}"
policy,profiles,profiles_update_own,"{""cmd"":""UPDATE"",""qual"":""(id = auth.uid())"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":""(id = auth.uid())""}"
policy,properties,properties_delete_admin,"{""cmd"":""DELETE"",""qual"":""is_admin()"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":null}"
policy,properties,properties_insert_admin,"{""cmd"":""INSERT"",""qual"":null,""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":""is_admin()""}"
policy,properties,properties_insert_public_open,"{""cmd"":""INSERT"",""qual"":null,""roles"":[""anon"",""authenticated""],""permissive"":""PERMISSIVE"",""with_check"":""((assignee_id IS NULL) AND (((source_type = 'realtor'::source_type) AND (submitter_type = 'realtor'::submitter_type)) OR ((source_type = 'general'::source_type) AND (submitter_type = 'owner'::submitter_type))))""}"
policy,properties,properties_insert_staff_own,"{""cmd"":""INSERT"",""qual"":null,""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":""(assignee_id = auth.uid())""}"
policy,properties,properties_select_admin,"{""cmd"":""SELECT"",""qual"":""is_admin()"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":null}"
policy,properties,properties_select_staff_own,"{""cmd"":""SELECT"",""qual"":""(assignee_id = auth.uid())"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":null}"
policy,properties,properties_update_admin,"{""cmd"":""UPDATE"",""qual"":""is_admin()"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":""is_admin()""}"
policy,properties,properties_update_staff_own,"{""cmd"":""UPDATE"",""qual"":""(assignee_id = auth.uid())"",""roles"":[""public""],""permissive"":""PERMISSIVE"",""with_check"":""(assignee_id = auth.uid())""}"
policy,property_activity_logs,property_activity_logs_select_own,"{""cmd"":""SELECT"",""qual"":""(actor_id = auth.uid())"",""roles"":[""authenticated""],""permissive"":""PERMISSIVE"",""with_check"":null}"
rls_status,profiles,row_level_security,"{""rls_forced"":false,""rls_enabled"":true}"
rls_status,properties,row_level_security,"{""rls_forced"":false,""rls_enabled"":true}"
rls_status,property_activity_logs,row_level_security,"{""rls_forced"":false,""rls_enabled"":true}"
rls_status,property_photos,row_level_security,"{""rls_forced"":false,""rls_enabled"":true}"
storage_bucket,storage.buckets,property-photos,"{""name"":""property-photos"",""public"":false,""file_size_limit"":15728640,""allowed_mime_types"":[""image/jpeg"",""image/png"",""image/webp""]}"
table_exists,public,profiles,"{""exists"":true}"
table_exists,public,properties,"{""exists"":true}"
table_exists,public,property_activity_logs,"{""exists"":true}"
table_exists,public,property_photos,"{""exists"":true}"
trigger,profiles,trg_profiles_role_guard,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION enforce_profiles_role_guard()"",""event_manipulation"":""INSERT""}"
trigger,profiles,trg_profiles_role_guard,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION enforce_profiles_role_guard()"",""event_manipulation"":""UPDATE""}"
trigger,profiles,trg_profiles_updated_at,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION set_updated_at()"",""event_manipulation"":""UPDATE""}"
trigger,properties,trg_assign_public_property_numbers,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION assign_public_property_numbers()"",""event_manipulation"":""INSERT""}"
trigger,properties,trg_properties_staff_enforce,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION enforce_staff_property_update()"",""event_manipulation"":""UPDATE""}"
trigger,properties,trg_properties_updated_at,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION set_updated_at()"",""event_manipulation"":""UPDATE""}"
trigger,properties,trg_sync_properties_identity_key,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION sync_properties_identity_key()"",""event_manipulation"":""UPDATE""}"
trigger,properties,trg_sync_properties_identity_key,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION sync_properties_identity_key()"",""event_manipulation"":""INSERT""}"
trigger,properties,trg_sync_properties_identity_key_v2,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION sync_properties_identity_key_v2()"",""event_manipulation"":""UPDATE""}"
trigger,properties,trg_sync_properties_identity_key_v2,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION sync_properties_identity_key_v2()"",""event_manipulation"":""INSERT""}"
trigger,property_photos,trg_property_photos_updated_at,"{""action_timing"":""BEFORE"",""action_statement"":""EXECUTE FUNCTION touch_property_photos_updated_at()"",""event_manipulation"":""UPDATE""}"
